"Code","Description"
"11h/00h","UNRECOVERED READ ERROR"
"11h/01h","READ RETRIES EXHAUSTED"
"11h/02h","ERROR TOO LONG TO CORRECT"
"11h/03h","MULTIPLE READ ERRORS"
"11h/04h","UNRECOVERED READ ERROR - AUTO REALLOCATE FAILED"
"11h/05h","L-EC UNCORRECTABLE ERROR"
"11h/06h","CIRC UNRECOVERED ERROR"
"11h/07h","DATA RE-SYNCHRONIZATION ERROR"
"11h/08h","INCOMPLETE BLOCK READ"
"11h/09h","NO GAP FOUND"
"11h/0Ah","MISCORRECTED ERROR"
"11h/0Bh","UNRECOVERED READ ERROR - RECOMMEND REASSIGNMENT"
"11h/0Ch","UNRECOVERED READ ERROR - RECOMMEND REWRITE THE DATA"
"11h/0Dh","DE-COMPRESSION CRC ERROR"
"11h/0Eh","CANNOT DECOMPRESS USING DECLARED ALGORITHM"
"11h/0Fh","ERROR READING UPC/EAN NUMBER"
"11h/10h","ERROR READING ISRC NUMBER"
"11h/11h","READ ERROR - LOSS OF STREAMING"
"11h/12h","AUXILIARY MEMORY READ ERROR"
"11h/13h","READ ERROR - FAILED RETRANSMISSION REQUEST"
"11h/14h","READ ERROR - LBA MARKED BAD BY APPLICATION CLIENT"
"11h/15h","WRITE AFTER SANITIZE REQUIRED"
"12h/00h","ADDRESS MARK NOT FOUND FOR ID FIELD"
"13h/00h","ADDRESS MARK NOT FOUND FOR DATA FIELD"
"14h/00h","RECORDED ENTITY NOT FOUND"
"14h/01h","RECORD NOT FOUND"
"14h/02h","FILEMARK OR SETMARK NOT FOUND"
"14h/03h","END-OF-DATA NOT FOUND"
"14h/04h","BLOCK SEQUENCE ERROR"
"14h/05h","RECORD NOT FOUND - RECOMMEND REASSIGNMENT"
"14h/06h","RECORD NOT FOUND - DATA AUTO-REALLOCATED"
"14h/07h","LOCATE OPERATION FAILURE"
"15h/00h","RANDOM POSITIONING ERROR"
"15h/01h","MECHANICAL POSITIONING ERROR"
"15h/02h","POSITIONING ERROR DETECTED BY READ OF MEDIUM"
"16h/00h","DATA SYNCHRONIZATION MARK ERROR"
"16h/01h","DATA SYNC ERROR - DATA REWRITTEN"
"16h/02h","DATA SYNC ERROR - RECOMMEND REWRITE"
"16h/03h","DATA SYNC ERROR - DATA AUTO-REALLOCATED"
"16h/04h","DATA SYNC ERROR - RECOMMEND REASSIGNMENT"
"17h/00h","RECOVERED DATA WITH NO ERROR CORRECTION APPLIED"
"17h/01h","RECOVERED DATA WITH RETRIES"
"17h/02h","RECOVERED DATA WITH POSITIVE HEAD OFFSET"
"17h/03h","RECOVERED DATA WITH NEGATIVE HEAD OFFSET"
"17h/04h","RECOVERED DATA WITH RETRIES AND/OR CIRC APPLIED"
"17h/05h","RECOVERED DATA USING PREVIOUS SECTOR ID"
"17h/06h","RECOVERED DATA WITHOUT ECC - DATA AUTO-REALLOCATED"
"17h/07h","RECOVERED DATA WITHOUT ECC - RECOMMEND REASSIGNMENT"
"17h/08h","RECOVERED DATA WITHOUT ECC - RECOMMEND REWRITE"
"17h/09h","RECOVERED DATA WITHOUT ECC - DATA REWRITTEN"
"18h/00h","RECOVERED DATA WITH ERROR CORRECTION APPLIED"
"18h/01h","RECOVERED DATA WITH ERROR CORR. & RETRIES APPLIED"
"18h/02h","RECOVERED DATA - DATA AUTO-REALLOCATED"
"18h/03h","RECOVERED DATA WITH CIRC"
"18h/04h","RECOVERED DATA WITH L-EC"
"18h/05h","RECOVERED DATA - RECOMMEND REASSIGNMENT"
"18h/06h","RECOVERED DATA - RECOMMEND REWRITE"
"18h/07h","RECOVERED DATA WITH ECC - DATA REWRITTEN"
"18h/08h","RECOVERED DATA WITH LINKING"
"19h/00h","DEFECT LIST ERROR"
"19h/01h","DEFECT LIST NOT AVAILABLE"
"19h/02h","DEFECT LIST ERROR IN PRIMARY LIST"
"19h/03h","DEFECT LIST ERROR IN GROWN LIST"
"1Ah/00h","PARAMETER LIST LENGTH ERROR"
"1Bh/00h","SYNCHRONOUS DATA TRANSFER ERROR"
"1Ch/00h","DEFECT LIST NOT FOUND"
"1Ch/01h","PRIMARY DEFECT LIST NOT FOUND"
"1Ch/02h","GROWN DEFECT LIST NOT FOUND"
"1Dh/00h","MISCOMPARE DURING VERIFY OPERATION"
"1Dh/01h","MISCOMPARE VERIFY OF UNMAPPED LBA"
"1Eh/00h","RECOVERED ID WITH ECC CORRECTION"
"1Fh/00h","PARTIAL DEFECT LIST TRANSFER"
"20h/00h","INVALID COMMAND OPERATION CODE"
"20h/01h","ACCESS DENIED - INITIATOR PENDING-ENROLLED"
"20h/02h","ACCESS DENIED - NO ACCESS RIGHTS"
"20h/03h","ACCESS DENIED - INVALID MGMT ID KEY"
"20h/04h","ILLEGAL COMMAND WHILE IN WRITE CAPABLE STATE"
"20h/05h","Obsolete"
"20h/06h","ILLEGAL COMMAND WHILE IN EXPLICIT ADDRESS MODE"
"20h/07h","ILLEGAL COMMAND WHILE IN IMPLICIT ADDRESS MODE"
"20h/08h","ACCESS DENIED - ENROLLMENT CONFLICT"
"20h/09h","ACCESS DENIED - INVALID LU IDENTIFIER"
"20h/0Ah","ACCESS DENIED - INVALID PROXY TOKEN"
"20h/0Bh","ACCESS DENIED - ACL LUN CONFLICT"
"20h/0Ch","ILLEGAL COMMAND WHEN NOT IN APPEND-ONLY MODE"
"20h/0Dh","NOT AN ADMINISTRATIVE LOGICAL UNIT"
"20h/0Eh","NOT A SUBSIDIARY LOGICAL UNIT"
"20h/0Fh","NOT A CONGLOMERATE LOGICAL UNIT"
"21h/00h","LOGICAL BLOCK ADDRESS OUT OF RANGE"
"21h/01h","INVALID ELEMENT ADDRESS"
"21h/02h","INVALID ADDRESS FOR WRITE"
"21h/03h","INVALID WRITE CROSSING LAYER JUMP"
"21h/04h","UNALIGNED WRITE COMMAND"
"21h/05h","WRITE BOUNDARY VIOLATION"
"21h/06h","ATTEMPT TO READ INVALID DATA"
"21h/07h","READ BOUNDARY VIOLATION"
"21h/08h","MISALIGNED WRITE COMMAND"
"22h/00h","ILLEGAL FUNCTION (USE 20 00, 24 00, OR 26 00)"
"23h/00h","INVALID TOKEN OPERATION, CAUSE NOT REPORTABLE"
"23h/01h","INVALID TOKEN OPERATION, UNSUPPORTED TOKEN TYPE"
"23h/02h","INVALID TOKEN OPERATION, REMOTE TOKEN USAGE NOT SUPPORTED"
"23h/03h","INVALID TOKEN OPERATION, REMOTE ROD TOKEN CREATION NOT SUPPORTED"
"23h/04h","INVALID TOKEN OPERATION, TOKEN UNKNOWN"
"23h/05h","INVALID TOKEN OPERATION, TOKEN CORRUPT"
"23h/06h","INVALID TOKEN OPERATION, TOKEN REVOKED"
"23h/07h","INVALID TOKEN OPERATION, TOKEN EXPIRED"
"23h/08h","INVALID TOKEN OPERATION, TOKEN CANCELLED"
"23h/09h","INVALID TOKEN OPERATION, TOKEN DELETED"
"23h/0Ah","INVALID TOKEN OPERATION, INVALID TOKEN LENGTH"
"24h/00h","INVALID FIELD IN CDB"
"24h/01h","CDB DECRYPTION ERROR"
"24h/02h","Obsolete"
"24h/03h","Obsolete"
"24h/04h","SECURITY AUDIT VALUE FROZEN"
"24h/05h","SECURITY WORKING KEY FROZEN"
"24h/06h","NONCE NOT UNIQUE"
"24h/07h","NONCE TIMESTAMP OUT OF RANGE"
"24h/08h","INVALID XCDB"
"24h/09h","INVALID FAST FORMAT"
"25h/00h","LOGICAL UNIT NOT SUPPORTED"
"26h/00h","INVALID FIELD IN PARAMETER LIST"
"26h/01h","PARAMETER NOT SUPPORTED"
"26h/02h","PARAMETER VALUE INVALID"
"26h/03h","THRESHOLD PARAMETERS NOT SUPPORTED"
"26h/04h","INVALID RELEASE OF PERSISTENT RESERVATION"
"26h/05h","DATA DECRYPTION ERROR"
"26h/06h","TOO MANY TARGET DESCRIPTORS"
"26h/07h","UNSUPPORTED TARGET DESCRIPTOR TYPE CODE"
"26h/08h","TOO MANY SEGMENT DESCRIPTORS"
"26h/09h","UNSUPPORTED SEGMENT DESCRIPTOR TYPE CODE"
"26h/0Ah","UNEXPECTED INEXACT SEGMENT"
"26h/0Bh","INLINE DATA LENGTH EXCEEDED"
"26h/0Ch","INVALID OPERATION FOR COPY SOURCE OR DESTINATION"
"26h/0Dh","COPY SEGMENT GRANULARITY VIOLATION"
"26h/0Eh","INVALID PARAMETER WHILE PORT IS ENABLED"
"26h/0Fh","INVALID DATA-OUT BUFFER INTEGRITY CHECK VALUE"
"26h/10h","DATA DECRYPTION KEY FAIL LIMIT REACHED"
"26h/11h","INCOMPLETE KEY-ASSOCIATED DATA SET"
"26h/12h","VENDOR SPECIFIC KEY REFERENCE NOT FOUND"
"26h/13h","APPLICATION TAG MODE PAGE IS INVALID"
"26h/14h","TAPE STREAM MIRRORING PREVENTED"
"26h/15h","COPY SOURCE OR COPY DESTINATION NOT AUTHORIZED"
"27h/00h","WRITE PROTECTED"
"27h/01h","HARDWARE WRITE PROTECTED"
"27h/02h","LOGICAL UNIT SOFTWARE WRITE PROTECTED"
"27h/03h","ASSOCIATED WRITE PROTECT"
"27h/04h","PERSISTENT WRITE PROTECT"
"27h/05h","PERMANENT WRITE PROTECT"
"27h/06h","CONDITIONAL WRITE PROTECT"
"27h/07h","SPACE ALLOCATION FAILED WRITE PROTECT"
"27h/08h","ZONE IS READ ONLY"
"28h/00h","NOT READY TO READY CHANGE, MEDIUM MAY HAVE CHANGED"
"28h/01h","IMPORT OR EXPORT ELEMENT ACCESSED"
"28h/02h","FORMAT-LAYER MAY HAVE CHANGED"
"28h/03h","IMPORT/EXPORT ELEMENT ACCESSED, MEDIUM CHANGED"
"29h/00h","POWER ON, RESET, OR BUS DEVICE RESET OCCURRED"
"29h/01h","POWER ON OCCURRED"
"29h/02h","SCSI BUS RESET OCCURRED"
"29h/03h","BUS DEVICE RESET FUNCTION OCCURRED"
"29h/04h","DEVICE INTERNAL RESET"
"29h/05h","TRANSCEIVER MODE CHANGED TO SINGLE-ENDED"
"29h/06h","TRANSCEIVER MODE CHANGED TO LVD"
"29h/07h","I_T NEXUS LOSS OCCURRED"
"2Ah/00h","PARAMETERS CHANGED"
"2Ah/01h","MODE PARAMETERS CHANGED"
"2Ah/02h","LOG PARAMETERS CHANGED"
"2Ah/03h","RESERVATIONS PREEMPTED"
"2Ah/04h","RESERVATIONS RELEASED"
"2Ah/05h","REGISTRATIONS PREEMPTED"
"2Ah/06h","ASYMMETRIC ACCESS STATE CHANGED"
"2Ah/07h","IMPLICIT ASYMMETRIC ACCESS STATE TRANSITION FAILED"
"2Ah/08h","PRIORITY CHANGED"
"2Ah/09h","CAPACITY DATA HAS CHANGED"
"2Ah/0Ah","ERROR HISTORY I_T NEXUS CLEARED"
"2Ah/0Bh","ERROR HISTORY SNAPSHOT RELEASED"
"2Ah/0Ch","ERROR RECOVERY ATTRIBUTES HAVE CHANGED"
"2Ah/0Dh","DATA ENCRYPTION CAPABILITIES CHANGED"
"2Ah/10h","TIMESTAMP CHANGED"
"2Ah/11h","DATA ENCRYPTION PARAMETERS CHANGED BY ANOTHER I_T NEXUS"
"2Ah/12h","DATA ENCRYPTION PARAMETERS CHANGED BY VENDOR SPECIFIC EVENT"
"2Ah/13h","DATA ENCRYPTION KEY INSTANCE COUNTER HAS CHANGED"
"2Ah/14h","SA CREATION CAPABILITIES DATA HAS CHANGED"
"2Ah/15h","MEDIUM REMOVAL PREVENTION PREEMPTED"
"2Ah/16h","ZONE RESET WRITE POINTER RECOMMENDED"
"2Bh/00h","COPY CANNOT EXECUTE SINCE HOST CANNOT DISCONNECT"
"2Ch/00h","COMMAND SEQUENCE ERROR"
"2Ch/01h","TOO MANY WINDOWS SPECIFIED"
"2Ch/02h","INVALID COMBINATION OF WINDOWS SPECIFIED"
"2Ch/03h","CURRENT PROGRAM AREA IS NOT EMPTY"
"2Ch/04h","CURRENT PROGRAM AREA IS EMPTY"
"2Ch/05h","ILLEGAL POWER CONDITION REQUEST"
"2Ch/06h","PERSISTENT PREVENT CONFLICT"
"2Ch/07h","PREVIOUS BUSY STATUS"
"2Ch/08h","PREVIOUS TASK SET FULL STATUS"
"2Ch/09h","PREVIOUS RESERVATION CONFLICT STATUS"
"2Ch/0Ah","PARTITION OR COLLECTION CONTAINS USER OBJECTS"
"2Ch/0Bh","NOT RESERVED"
"2Ch/0Ch","ORWRITE GENERATION DOES NOT MATCH"
"2Ch/0Dh","RESET WRITE POINTER NOT ALLOWED"
"2Ch/0Eh","ZONE IS OFFLINE"
"2Ch/0Fh","STREAM NOT OPEN"
"2Ch/10h","UNWRITTEN DATA IN ZONE"
"2Ch/11h","DESCRIPTOR FORMAT SENSE DATA REQUIRED"
"2Dh/00h","OVERWRITE ERROR ON UPDATE IN PLACE"
"2Eh/00h","INSUFFICIENT TIME FOR OPERATION"
"2Eh/01h","COMMAND TIMEOUT BEFORE PROCESSING"
"2Eh/02h","COMMAND TIMEOUT DURING PROCESSING"
"2Eh/03h","COMMAND TIMEOUT DURING PROCESSING DUE TO ERROR RECOVERY"
"2Fh/00h","COMMANDS CLEARED BY ANOTHER INITIATOR"
"2Fh/01h","COMMANDS CLEARED BY POWER LOSS NOTIFICATION"
"2Fh/02h","COMMANDS CLEARED BY DEVICE SERVER"
"2Fh/03h","SOME COMMANDS CLEARED BY QUEUING LAYER EVENT"
"30h/00h","INCOMPATIBLE MEDIUM INSTALLED"
"30h/01h","CANNOT READ MEDIUM - UNKNOWN FORMAT"
"30h/02h","CANNOT READ MEDIUM - INCOMPATIBLE FORMAT"
"30h/03h","CLEANING CARTRIDGE INSTALLED"
"30h/04h","CANNOT WRITE MEDIUM - UNKNOWN FORMAT"
"30h/05h","CANNOT WRITE MEDIUM - INCOMPATIBLE FORMAT"
"30h/06h","CANNOT FORMAT MEDIUM - INCOMPATIBLE MEDIUM"
"30h/07h","CLEANING FAILURE"
"30h/08h","CANNOT WRITE - APPLICATION CODE MISMATCH"
"30h/09h","CURRENT SESSION NOT FIXATED FOR APPEND"
"30h/0Ah","CLEANING REQUEST REJECTED"
"30h/0Ch","WORM MEDIUM - OVERWRITE ATTEMPTED"
"30h/0Dh","WORM MEDIUM - INTEGRITY CHECK"
"30h/10h","MEDIUM NOT FORMATTED"
"30h/11h","INCOMPATIBLE VOLUME TYPE"
"30h/12h","INCOMPATIBLE VOLUME QUALIFIER"
"30h/13h","CLEANING VOLUME EXPIRED"
"31h/00h","MEDIUM FORMAT CORRUPTED"
"31h/01h","FORMAT COMMAND FAILED"
"31h/02h","ZONED FORMATTING FAILED DUE TO SPARE LINKING"
"31h/03h","SANITIZE COMMAND FAILED"
"32h/00h","NO DEFECT SPARE LOCATION AVAILABLE"
"32h/01h","DEFECT LIST UPDATE FAILURE"
"33h/00h","TAPE LENGTH ERROR"
"34h/00h","ENCLOSURE FAILURE"
"35h/00h","ENCLOSURE SERVICES FAILURE"
"35h/01h","UNSUPPORTED ENCLOSURE FUNCTION"
"35h/02h","ENCLOSURE SERVICES UNAVAILABLE"
"35h/03h","ENCLOSURE SERVICES TRANSFER FAILURE"
"35h/04h","ENCLOSURE SERVICES TRANSFER REFUSED"
"35h/05h","ENCLOSURE SERVICES CHECKSUM ERROR"
"36h/00h","RIBBON, INK, OR TONER FAILURE"
"37h/00h","ROUNDED PARAMETER"
"38h/00h","EVENT STATUS NOTIFICATION"
"38h/02h","ESN - POWER MANAGEMENT CLASS EVENT"
"38h/04h","ESN - MEDIA CLASS EVENT"
"38h/06h","ESN - DEVICE BUSY CLASS EVENT"
"38h/07h","THIN PROVISIONING SOFT THRESHOLD REACHED"
"39h/00h","SAVING PARAMETERS NOT SUPPORTED"
"3Ah/00h","MEDIUM NOT PRESENT"
"3Ah/01h","MEDIUM NOT PRESENT - TRAY CLOSED"
"3Ah/02h","MEDIUM NOT PRESENT - TRAY OPEN"
"3Ah/03h","MEDIUM NOT PRESENT - LOADABLE"
"3Ah/04h","MEDIUM NOT PRESENT - MEDIUM AUXILIARY MEMORY ACCESSIBLE"
"3Bh/00h","SEQUENTIAL POSITIONING ERROR"
"3Bh/01h","TAPE POSITION ERROR AT BEGINNING-OF-MEDIUM"
"3Bh/02h","TAPE POSITION ERROR AT END-OF-MEDIUM"
"3Bh/03h","TAPE OR ELECTRONIC VERTICAL FORMS UNIT NOT READY"
"3Bh/04h","SLEW FAILURE"
"3Bh/05h","PAPER JAM"
"3Bh/06h","FAILED TO SENSE TOP-OF-FORM"
"3Bh/07h","FAILED TO SENSE BOTTOM-OF-FORM"
"3Bh/08h","REPOSITION ERROR"
"3Bh/09h","READ PAST END OF MEDIUM"
"3Bh/0Ah","READ PAST BEGINNING OF MEDIUM"
"3Bh/0Bh","POSITION PAST END OF MEDIUM"
"3Bh/0Ch","POSITION PAST BEGINNING OF MEDIUM"
"3Bh/0Dh","MEDIUM DESTINATION ELEMENT FULL"
"3Bh/0Eh","MEDIUM SOURCE ELEMENT EMPTY"
"3Bh/0Fh","END OF MEDIUM REACHED"
"3Bh/11h","MEDIUM MAGAZINE NOT ACCESSIBLE"
"3Bh/12h","MEDIUM MAGAZINE REMOVED"
"3Bh/13h","MEDIUM MAGAZINE INSERTED"
"3Bh/14h","MEDIUM MAGAZINE LOCKED"
"3Bh/15h","MEDIUM MAGAZINE UNLOCKED"
"3Bh/16h","MECHANICAL POSITIONING OR CHANGER ERROR"
"3Bh/17h","READ PAST END OF USER OBJECT"
"3Bh/18h","ELEMENT DISABLED"
"3Bh/19h","ELEMENT ENABLED"
"3Bh/1Ah","DATA TRANSFER DEVICE REMOVED"
"3Bh/1Bh","DATA TRANSFER DEVICE INSERTED"
"3Bh/1Ch","TOO MANY LOGICAL OBJECTS ON PARTITION TO SUPPORT OPERATION"
"3Dh/00h","INVALID BITS IN IDENTIFY MESSAGE"
"3Eh/00h","LOGICAL UNIT HAS NOT SELF-CONFIGURED YET"
"3Eh/01h","LOGICAL UNIT FAILURE"
"3Eh/02h","TIMEOUT ON LOGICAL UNIT"
"3Eh/03h","LOGICAL UNIT FAILED SELF-TEST"
"3Eh/04h","LOGICAL UNIT UNABLE TO UPDATE SELF-TEST LOG"
"3Fh/00h","TARGET OPERATING CONDITIONS HAVE CHANGED"
"3Fh/01h","MICROCODE HAS BEEN CHANGED"
"3Fh/02h","CHANGED OPERATING DEFINITION"
